"DAY","HOUR24","MINUTE","FRACTIONAL DAY","DATESTRING","ALTITUDE","AZIMUTH"
201,16,15,200.677083333333333266,"Day 201, 04:15pm",25.611179241752453,3.3076783494238193
201,16,30,200.687499999999999932,"Day 201, 04:30pm",21.86708812885975,3.215671469590084
201,16,45,200.6979166666666666,"Day 201, 04:45pm",18.122699476217527,3.1417929313287987
201,17,0,200.7083333333333334,"Day 201, 05:00pm",14.378081618632043,3.084187177152649
201,17,15,200.718750000000000066,"Day 201, 05:15pm",10.63329347553038,3.0414751493702603
201,17,30,200.729166666666666732,"Day 201, 05:30pm",6.888387291737722,3.0126702485916965
201,17,45,200.7395833333333334,"Day 201, 05:45pm",3.1434108135966774,2.9971213905802228
201,18,0,200.75,"Day 201, 06:00pm",-0.601590896156682,2.9944768494656704
201,18,15,200.760416666666666666,"Day 201, 06:15pm",-4.34657385234363,3.004665083078855
201,18,30,200.770833333333333332,"Day 201, 06:30pm",-8.091493625873898,3.0278905849474302
201,18,45,200.78125,"Day 201, 06:45pm",-11.836303793869101,3.0646443313053675
201,19,0,200.7916666666666666,"Day 201, 07:00pm",-15.580954245046135,3.115729843484877
201,19,15,200.802083333333333266,"Day 201, 07:15pm",-19.325389205453117,3.182307501793361
201,19,30,200.812499999999999932,"Day 201, 07:30pm",-23.06954481210868,3.2659618013312772
201,19,45,200.8229166666666666,"Day 201, 07:45pm",-26.813345997645538,3.368799117987098
201,20,0,200.8333333333333334,"Day 201, 08:00pm",-30.556702343089494,3.493587858278701
201,20,15,200.843750000000000066,"Day 201, 08:15pm",-34.2995023822519,3.643959616847787
201,20,30,200.854166666666666732,"Day 201, 08:30pm",-38.04160555249301,3.824700955840954
201,20,45,200.8645833333333334,"Day 201, 08:45pm",-41.78283049480187,4.042183951977486
201,21,0,200.875,"Day 201, 09:00pm",-45.52293754196375,4.305016045581189
201,21,15,200.885416666666666666,"Day 201, 09:15pm",-49.261601657740954,4.625048588738925
201,21,30,200.895833333333333332,"Day 201, 09:30pm",-52.99836908886338,5.018995285543834
201,21,45,200.90625,"Day 201, 09:45pm",-56.732584977978284,5.511135099985612
201,22,0,200.9166666666666666,"Day 201, 10:00pm",-60.463266389702405,6.138047904868859
201,22,15,200.927083333333333266,"Day 201, 10:15pm",-64.18886594311257,6.95740943051348
201,22,30,200.937499999999999932,"Day 201, 10:30pm",-67.90679820097077,8.065547184000163
201,22,45,200.9479166666666666,"Day 201, 10:45pm",-71.61239745237316,9.635844039401288
201,23,0,200.9583333333333334,"Day 201, 11:00pm",-75.29632219770326,12.013438466725836
201,23,15,200.968750000000000066,"Day 201, 11:15pm",-78.93688474059668,15.990039605318739
201,23,30,200.979166666666666732,"Day 201, 11:30pm",-82.47090451632799,23.80635923758098
201,23,45,200.9895833333333334,"Day 201, 11:45pm",-85.63164304144749,44.00874734963445
202,0,0,201.0,"Day 202, 00:00am",-86.90511034262893,101.2681436457737
202,0,15,201.010416666666666666,"Day 202, 00:15am",-84.69202312696176,145.06230554554463
202,0,30,201.020833333333333332,"Day 202, 00:30am",-81.34718411246013,159.36952496566786
202,0,45,201.03125,"Day 202, 00:45am",-77.766116154014,165.50509663668993
202,1,0,201.041666666666666664,"Day 202, 01:00am",-74.10772650070228,168.82548390096395
202,1,15,201.052083333333333330,"Day 202, 01:15am",-70.41530906181835,170.88568222493203
202,1,30,201.062499999999999996,"Day 202, 01:30am",-66.7050506494431,172.2795127152784
202,1,45,201.072916666666666664,"Day 202, 01:45am",-62.98431286629613,173.2795911424689
202,2,0,201.08333333333333333,"Day 202, 02:00am",-59.256912698837795,174.0279088191228
202,2,15,201.093749999999999996,"Day 202, 02:15am",-55.525023928343884,174.60547179581286
202,2,30,201.104166666666666662,"Day 202, 02:30am",-51.78997511018546,175.06177060667596
202,2,45,201.11458333333333333,"Day 202, 02:45am",-48.05262437390716,175.42869289156565
202,3,0,201.125,"Day 202, 03:00am",-44.31355134290804,175.7276706443501
202,3,15,201.135416666666666666,"Day 202, 03:15am",-40.5731623765925,175.97360701595983
202,3,30,201.145833333333333332,"Day 202, 03:30am",-36.831751593698385,176.1771548059969
202,3,45,201.15625,"Day 202, 03:45am",-33.08953794118732,176.3460995251761
202,4,0,201.16666666666666666,"Day 202, 04:00am",-29.346688623059066,176.48623112439475
202,4,15,201.177083333333333326,"Day 202, 04:15am",-25.6033344301068,176.6019110018685
202,4,30,201.187499999999999992,"Day 202, 04:30am",-21.85958008782867,176.69645052644097
202,4,45,201.19791666666666666,"Day 202, 04:45am",-18.11551144810485,176.7723690159967
202,5,0,201.20833333333333334,"Day 202, 05:00am",-14.371200633025095,176.8315721815628
202,5,15,201.218750000000000006,"Day 202, 05:15am",-10.626709826787533,176.87547645406835
202,5,30,201.229166666666666672,"Day 202, 05:30am",-6.88209416750989,176.9050952548389
202,5,45,201.23958333333333334,"Day 202, 05:45am",-3.1374040433231674,176.9210974531837
202,6,0,201.25,"Day 202, 06:00am",0.6073129927054413,176.92384448699502
202,6,15,201.260416666666666666,"Day 202, 06:15am",4.3520105280560095,176.9134100496362
202,6,30,201.270833333333333332,"Day 202, 06:30am",8.096641685591704,176.88958434941227
202,6,45,201.28125,"Day 202, 06:45am",11.841157488568774,176.85186338412825
202,7,0,201.2916666666666667,"Day 202, 07:00am",15.58550507313328,176.799422182958
202,7,15,201.302083333333333366,"Day 202, 07:15am",19.32962560603034,176.7310693094738
202,7,30,201.312500000000000032,"Day 202, 07:30am",23.073451725689665,176.6451778111666
202,7,45,201.3229166666666667,"Day 202, 07:45am",26.81690425690258,176.53958484735674
202,8,0,201.3333333333333333,"Day 202, 08:00am",30.55988783761483,176.41144780922468
202,8,15,201.343749999999999966,"Day 202, 08:15am",34.30228491331984,176.2570378196914
202,8,30,201.354166666666666632,"Day 202, 08:30am",38.043947250248365,176.0714402258157
202,8,45,201.3645833333333333,"Day 202, 08:45am",41.78468360027979,175.8481126883566
202,9,0,201.375,"Day 202, 09:00am",45.52424123997024,175.5782182593968
202,9,15,201.385416666666666666,"Day 202, 09:15am",49.26227744602064,175.2495904930393
202,9,30,201.395833333333333332,"Day 202, 09:30am",52.99831380875738,174.84507306239865
202,9,45,201.40625,"Day 202, 09:45am",56.731659953689416,174.3397475317712
202,10,0,201.4166666666666667,"Day 202, 10:00am",60.46127977455018,173.69607799106691
202,10,15,201.427083333333333366,"Day 202, 10:15am",64.18554250678811,172.85489829908028
202,10,30,201.437500000000000032,"Day 202, 10:30am",67.90172420716169,171.71743459336716
202,10,45,201.4479166666666667,"Day 202, 10:45am",71.60491158997178,170.10602399595882
202,11,0,201.4583333333333333,"Day 202, 11:00am",75.28527576830965,167.6674317947812
202,11,15,201.468749999999999966,"Day 202, 11:15am",78.92003516904919,163.59325710040955
202,11,30,201.479166666666666632,"Day 202, 11:30am",82.44307981385938,155.60788732570754
202,11,45,201.4895833333333333,"Day 202, 11:45am",85.57874366796588,135.17757775363307
202,12,0,201.5,"Day 202, 12:00pm",86.82398817565053,78.91848454182653
202,12,15,201.510416666666666666,"Day 202, 12:15pm",84.64037184226697,35.619463477313005
202,12,30,201.520833333333333332,"Day 202, 12:30pm",81.31305338864584,21.123288228361496
202,12,45,201.53125,"Day 202, 12:45pm",77.74034739601942,14.860635765423622
202,13,0,201.5416666666666666,"Day 202, 01:00pm",74.0866915767409,11.462795006284514
202,13,15,201.552083333333333266,"Day 202, 01:15pm",70.39730893825902,9.352075747733474
202,13,30,201.562499999999999932,"Day 202, 01:30pm",66.68916869723623,7.923159752893749
202,13,45,201.5729166666666666,"Day 202, 01:45pm",62.97000210396492,6.8975119981179915
202,14,0,201.5833333333333334,"Day 202, 02:00pm",59.24382194475549,6.129866772132967
202,14,15,201.593750000000000066,"Day 202, 02:15pm",55.51291500983592,5.537280982657519
202,14,30,201.604166666666666732,"Day 202, 02:30pm",51.7786795476627,5.069052137825005
202,14,45,201.6145833333333334,"Day 202, 02:45pm",48.04201899261855,4.692498631898563
202,15,0,201.625,"Day 202, 03:00pm",44.30354371448772,4.385648335746538
202,15,15,201.635416666666666666,"Day 202, 03:15pm",40.56368170596535,4.133219055636432
202,15,30,201.645833333333333332,"Day 202, 03:30pm",36.82274278750857,3.9242851229090565
202,15,45,201.65625,"Day 202, 03:45pm",33.08095762023279,3.7508604763131235
202,16,0,201.6666666666666666,"Day 202, 04:00pm",29.338502369119134,3.6070053361890304
202,16,15,201.677083333333333266,"Day 202, 04:15pm",25.595514843472657,3.4882450151312403
202,16,30,201.687499999999999932,"Day 202, 04:30pm",21.85210539374607,3.3911818536897185
202,16,45,201.6979166666666666,"Day 202, 04:45pm",18.10836448565907,3.3132306984471644
202,17,0,201.7083333333333334,"Day 202, 05:00pm",14.364368118118865,3.252435908413383
202,17,15,201.718750000000000066,"Day 202, 05:15pm",10.620181817494595,3.2073438451127627
202,17,30,201.729166666666666732,"Day 202, 05:30pm",6.875863683937273,3.17691438571055
202,17,45,201.7395833333333334,"Day 202, 05:45pm",3.1314668102268324,3.1604609594740003
202,18,0,201.75,"Day 202, 06:00pm",-0.6129587009292587,3.157612468884103
202,18,15,201.760416666666666666,"Day 202, 06:15pm",-4.357363951843831,3.1682930937948255
202,18,30,201.770833333333333332,"Day 202, 06:30pm",-8.101699559026288,3.1927179218984745
202,18,45,201.78125,"Day 202, 06:45pm",-11.845913931083627,3.2314039522912488
202,19,0,201.7916666666666666,"Day 202, 07:00pm",-15.589951386146645,3.2851975472626367
202,19,15,201.802083333333333266,"Day 202, 07:15pm",-19.333749959022654,3.35532110822388
202,19,30,201.812499999999999932,"Day 202, 07:30pm",-23.077238706624165,3.4434439140824975
202,19,45,201.8229166666666666,"Day 202, 07:45pm",-26.820334248718417,3.5517850890346865
202,20,0,201.8333333333333334,"Day 202, 08:00pm",-30.562936163486032,3.6832611969795765
202,20,15,201.843750000000000066,"Day 202, 08:15pm",-34.304920664749595,3.8416980605077247
202,20,30,201.854166666666666732,"Day 202, 08:30pm",-38.046131667534496,4.032137960136107
202,20,45,201.8645833333333334,"Day 202, 08:45pm",-41.786367803320715,4.261292850316151
202,21,0,201.875,"Day 202, 09:00pm",-45.52536298846297,4.538228260807614
202,21,15,201.885416666666666666,"Day 202, 09:15pm",-49.26275640321333,4.875424366852032
202,21,30,201.895833333333333332,"Day 202, 09:30pm",-52.99804441515625,5.290478029354551
202,21,45,201.90625,"Day 202, 09:45pm",-56.73050032529165,5.808943803948916
202,22,0,201.9166666666666666,"Day 202, 10:00pm",-60.45903366525171,6.469307935251283
202,22,15,201.927083333333333266,"Day 202, 10:15pm",-64.18192845802841,7.33221653441473
202,22,30,201.937499999999999932,"Day 202, 10:30pm",-67.8963193144192,8.498868837450512
202,22,45,201.9479166666666666,"Day 202, 10:45pm",-71.5970403971556,10.15116015303463
202,23,0,201.9583333333333334,"Day 202, 11:00pm",-75.27376657971031,12.650294781046822
202,23,15,201.968750000000000066,"Day 202, 11:15pm",-78.90260666874491,16.820945257459297
202,23,30,201.979166666666666732,"Day 202, 11:30pm",-82.41450517648136,24.97174808242855
202,23,45,201.9895833333333334,"Day 202, 11:45pm",-85.52508419881316,45.61402576163537
203,0,0,202.0,"Day 203, 00:00am",-86.74306920127049,100.90360915454465
203,0,15,202.010416666666666666,"Day 203, 00:15am",-84.5881747848761,143.71328508842424
203,0,30,202.020833333333333332,"Day 203, 00:30am",-81.27844779656641,158.38895998080253
203,0,45,202.03125,"Day 203, 00:45am",-77.71422781831552,164.77608719663053
203,1,0,202.041666666666666664,"Day 203, 01:00am",-74.06539421902038,168.25042437141147
203,1,15,202.052083333333333330,"Day 203, 01:15am",-70.37910838307923,170.4112161688277
203,1,30,202.062499999999999996,"Day 203, 01:30am",-66.67313160992268,171.8749701325793
203,1,45,202.072916666666666664,"Day 203, 01:45am",-62.95557071401999,172.92603433057877
203,2,0,202.08333333333333333,"Day 203, 02:00am",-59.23063781802951,173.71290489289427
203,2,15,202.093749999999999996,"Day 203, 02:15am",-55.50073490788697,174.32044111105367
203,2,30,202.104166666666666662,"Day 203, 02:30am",-51.7673313341837,174.80054649242922
203,2,45,202.11458333333333333,"Day 203, 02:45am",-48.031376780020274,175.1866903877928
203,3,0,202.125,"Day 203, 03:00am",-44.293513016146754,175.50138129402342
203,3,15,202.135416666666666666,"Day 203, 03:15am",-40.55419013664957,175.7602780465965
203,3,30,202.145833333333333332,"Day 203, 03:30am",-36.81373400775056,175.9745775881438
203,3,45,202.15625,"Day 203, 03:45am",-33.07238726396027,176.15246543422154
203,4,0,202.16666666666666666,"Day 203, 04:00am",-29.330335231157665,176.30003041880107
203,4,15,202.177083333333333326,"Day 203, 04:15am",-25.58772289477888,176.42185995924152
203,4,30,202.187499999999999992,"Day 203, 04:30am",-21.844666357248435,176.52143759507254
203,4,45,202.19791666666666666,"Day 203, 04:45am",-18.10126080278438,176.6014140106521
203,5,0,202.20833333333333334,"Day 203, 05:00am",-14.357586195382273,176.66379455008894
203,5,15,202.218750000000000006,"Day 203, 05:15am",-10.61371147990868,176.71006989140656
203,5,30,202.229166666666666672,"Day 203, 05:30am",-6.8696977863503275,176.74130673701634
203,5,45,202.23958333333333334,"Day 203, 05:45am",-3.125600974149581,176.7582092746213
203,6,0,202.25,"Day 203, 06:00am",0.6185262458275147,176.7611582088151
203,6,15,202.260416666666666666,"Day 203, 06:15am",4.362632433665277,176.75023146259448
203,6,30,202.270833333333333332,"Day 203, 06:30am",8.10666564198198,176.72520865557811
